name,member_id,gamemode,skill_group,team_name,season,games_played,sprocket_rating,dpi_per_game,opi_per_game,avg_score,goals_per_game,total_goals,saves_per_game,total_saves,shots_per_game,total_shots,assists_per_game,total_assists,avg_goals_against,total_goals_against,avg_shots_against,total_shots_against,avg_demos_inflicted,total_demos_inflicted,avg_demos_taken,total_demos_taken
0thatguy,2567,RL_DOUBLES,Champion League,Aviators,Season 15,25,51.8424,50.89,52.7964,557.64,1.88,47.0,1.64,41.0,4.28,107.0,0.76,19.0,3.04,76.0,7.96,199.0,0.64,16.0,1.08,27.0
0thatguy,2567,RL_DOUBLES,Champion League,Bears,Season 14,10,50.29,53.532,47.051,511.3,1.7,17.0,1.3,13.0,3.8,38.0,0.6,6.0,2.8,28.0,6.8,68.0,0.6,6.0,1.2,12.0
0thatguy,2567,RL_DOUBLES,Master League,Ducks,Season 17,5,35.866,35.864,35.872,516.6,1.0,5.0,2.0,10.0,5.0,25.0,0.6,3.0,4.0,20.0,10.6,53.0,0.6,3.0,0.2,1.0
0thatguy,2567,RL_DOUBLES,Master League,Elite,Season 16,5,31.592,28.646,34.54,483.8,1.6,8.0,0.6,3.0,3.8,19.0,0.2,1.0,4.6,23.0,7.6,38.0,0.8,4.0,0.8,4.0
0thatguy,2567,RL_STANDARD,Champion League,Aviators,Season 15,35,58.662571428571425,66.68142857142857,50.64342857142857,380.77142857142854,0.9428571428571428,33.0,1.4857142857142858,52.0,2.857142857142857,100.0,0.4857142857142857,17.0,1.8,63.0,7.3428571428571425,257.0,0.6285714285714286,22.0,1.0,35.0
0thatguy,2567,RL_STANDARD,Champion League,Aviators,Season 15 Playoffs,4,54.4275,52.6225,56.2325,366.0,1.25,5.0,0.5,2.0,3.0,12.0,0.25,1.0,1.75,7.0,5.5,22.0,0.0,0.0,0.5,2.0
0thatguy,2567,RL_STANDARD,Champion League,Bears,Season 14,5,45.222,38.722,51.722,295.0,0.6,3.0,0.2,1.0,3.0,15.0,0.6,3.0,2.2,11.0,6.2,31.0,0.2,1.0,1.4,7.0
0thatguy,2567,RL_STANDARD,Master League,Ducks,Season 17,10,31.488,25.184,37.789,327.2,0.7,7.0,1.6,16.0,2.8,28.0,0.4,4.0,3.9,39.0,10.4,104.0,0.5,5.0,1.0,10.0
0thatguy,2567,RL_STANDARD,Master League,Elite,Season 16,10,33.356,26.842,39.868,213.7,0.5,5.0,0.5,5.0,2.1,21.0,0.5,5.0,3.0,30.0,8.7,87.0,0.9,9.0,1.7,17.0
0w1,4883,RL_STANDARD,Master League,Hawks,Season 16,5,48.348,27.752,68.95,458.2,0.8,4.0,1.8,9.0,3.4,17.0,1.2,6.0,4.2,21.0,11.4,57.0,1.4,7.0,1.2,6.0
1AMRamen,4,RL_DOUBLES,Master League,Express,Season 17,23,44.62826086956522,51.27739130434782,37.97869565217391,465.69565217391306,1.173913043478261,27.0,1.8695652173913042,43.0,3.217391304347826,74.0,0.6521739130434783,15.0,3.3043478260869565,76.0,9.391304347826088,216.0,0.782608695652174,18.0,1.3043478260869565,30.0
1AMRamen,4,RL_DOUBLES,Master League,Shadow,Season 16,20,52.0735,53.7985,50.351,514.25,1.4,28.0,1.8,36.0,3.45,69.0,0.95,19.0,2.95,59.0,7.75,155.0,0.35,7.0,0.85,17.0
1AMRamen,4,RL_STANDARD,Master League,Express,Season 17,21,52.063809523809525,56.88428571428572,47.24190476190476,416.04761904761904,0.5714285714285714,12.0,2.0,42.0,2.857142857142857,60.0,0.6666666666666666,14.0,2.5714285714285716,54.0,9.428571428571429,198.0,0.5238095238095238,11.0,1.0952380952380951,23.0
1AMRamen,4,RL_STANDARD,Master League,Shadow,Season 16,20,59.4695,66.9735,51.968,363.8,0.8,16.0,1.45,29.0,2.6,52.0,0.6,12.0,1.6,32.0,8.2,164.0,0.5,10.0,1.35,27.0
1kgrey,5064,RL_STANDARD,Foundation League,Sabres,Season 16,5,47.592,47.186,47.998,251.0,0.4,2.0,1.0,5.0,1.6,8.0,0.8,4.0,2.4,12.0,6.4,32.0,0.4,2.0,1.2,6.0
1minatur,3680,RL_DOUBLES,Master League,Rhinos,Season 15,15,54.751333333333335,47.29066666666667,62.20933333333333,553.0,1.4666666666666668,22.0,1.5333333333333332,23.0,4.066666666666666,61.0,1.2666666666666666,19.0,3.4,51.0,7.266666666666667,109.0,0.9333333333333333,14.0,0.9333333333333333,14.0
1minatur,3680,RL_DOUBLES,Premier League,Lightning,Season 15,5,46.686,46.064,47.308,499.6,1.4,7.0,2.6,13.0,4.0,20.0,0.8,4.0,3.8,19.0,10.6,53.0,0.8,4.0,1.8,9.0
1minatur,3680,RL_STANDARD,Master League,Rhinos,Season 14,20,62.15,67.8955,56.405,354.15,0.75,15.0,1.1,22.0,2.75,55.0,0.85,17.0,1.6,32.0,5.75,115.0,1.6,32.0,0.5,10.0
1minatur,3680,RL_STANDARD,Master League,Rhinos,Season 14 Playoffs,4,36.2925,57.96,14.62,193.75,0.0,0.0,1.25,5.0,0.5,2.0,0.25,1.0,1.75,7.0,8.5,34.0,1.0,4.0,2.5,10.0
1minatur,3680,RL_STANDARD,Master League,Rhinos,Season 15,15,73.15666666666667,72.22066666666667,74.09333333333333,453.0,1.4666666666666668,22.0,1.5333333333333332,23.0,3.6,54.0,0.7333333333333333,11.0,1.6,24.0,5.933333333333334,89.0,1.0666666666666667,16.0,0.5333333333333333,8.0
1minatur,3680,RL_STANDARD,Premier League,Lightning,Season 15,10,56.285,63.002,49.569,366.5,0.7,7.0,1.4,14.0,2.4,24.0,0.6,6.0,1.7,17.0,7.4,74.0,1.1,11.0,0.8,8.0
2Script,5090,RL_DOUBLES,Master League,Spectre,Season 16,9,66.66,66.55666666666667,66.76,637.1111111111111,2.111111111111111,19.0,2.0,18.0,6.333333333333333,57.0,0.7777777777777778,7.0,2.3333333333333335,21.0,7.222222222222222,65.0,0.3333333333333333,3.0,0.4444444444444444,4.0
2Script,5090,RL_DOUBLES,Master League,Spectre,Season 16 Playoffs,8,56.95375,55.15375,58.76,588.75,1.75,14.0,2.125,17.0,4.375,35.0,0.875,7.0,3.375,27.0,8.125,65.0,0.625,5.0,0.875,7.0
2Script,5090,RL_DOUBLES,Master League,Spectre,Season 17,15,64.14933333333333,64.23133333333334,64.06733333333334,666.2666666666667,1.9333333333333333,29.0,2.2,33.0,5.266666666666667,79.0,1.1333333333333333,17.0,2.7333333333333334,41.0,7.333333333333333,110.0,0.4,6.0,0.9333333333333333,14.0
2Script,5090,RL_STANDARD,Master League,Spectre,Season 16,5,47.116,47.714,46.516,305.8,0.4,2.0,1.2,6.0,2.4,12.0,0.8,4.0,2.2,11.0,9.4,47.0,0.8,4.0,1.0,5.0
2Script,5090,RL_STANDARD,Master League,Spectre,Season 17,15,58.04066666666667,61.494,54.58866666666667,383.1333333333333,0.8666666666666667,13.0,1.4666666666666668,22.0,2.933333333333333,44.0,0.8,12.0,2.0,30.0,7.0,105.0,0.7333333333333333,11.0,0.6,9.0
2Script,5090,RL_STANDARD,Premier League,Blizzard,Season 17,5,26.242,38.742,13.742,285.2,0.0,0.0,2.4,12.0,1.2,6.0,0.2,1.0,4.0,20.0,11.8,59.0,0.4,2.0,0.6,3.0
3Putt,5418,RL_DOUBLES,Academy League,Pandas,Season 18,20,40.533,48.6355,32.431,453.7,1.15,23.0,1.7,34.0,3.7,74.0,0.4,8.0,3.25,65.0,7.35,147.0,1.45,29.0,0.6,12.0
3Putt,5418,RL_DOUBLES,Academy League,Tyrants,Season 19,10,26.515,27.862,25.169,347.2,0.7,7.0,1.2,12.0,3.0,30.0,0.5,5.0,4.4,44.0,8.7,87.0,0.9,9.0,0.6,6.0
3Putt,5418,RL_DOUBLES,Champion League,Ducks,Season 19,5,47.2,50.37,44.03,353.6,0.8,4.0,0.6,3.0,2.8,14.0,1.2,6.0,2.4,12.0,6.0,30.0,0.0,0.0,0.0,0.0
3Putt,5418,RL_STANDARD,Academy League,Pandas,Season 18,30,53.995,67.66633333333333,40.324,337.9,0.8,24.0,1.5666666666666667,47.0,2.2,66.0,0.36666666666666664,11.0,1.8333333333333333,55.0,6.466666666666667,194.0,1.5,45.0,0.7666666666666667,23.0
3Putt,5418,RL_STANDARD,Academy League,Tyrants,Season 19,5,39.622,60.896,18.352,322.0,0.2,1.0,2.2,11.0,1.2,6.0,0.2,1.0,2.4,12.0,8.0,40.0,2.6,13.0,0.6,3.0
3Putt,5418,RL_STANDARD,Champion League,Ducks,Season 19,10,24.782,30.254,19.308,183.1,0.2,2.0,0.9,9.0,1.4,14.0,0.2,2.0,3.3,33.0,8.6,86.0,0.0,0.0,0.0,0.0
3r1an7,4238,RL_DOUBLES,Academy League,Bears,Season 17,10,52.298,53.118,51.477,560.5,2.0,20.0,1.5,15.0,5.0,50.0,0.6,6.0,3.0,30.0,7.2,72.0,1.4,14.0,0.1,1.0
3r1an7,4238,RL_DOUBLES,Academy League,Express,Season 15,15,52.355333333333334,52.32066666666667,52.39066666666667,548.8666666666667,1.9333333333333333,29.0,1.6666666666666667,25.0,4.4,66.0,0.6666666666666666,10.0,3.2,48.0,7.133333333333333,107.0,1.0,15.0,0.6666666666666666,10.0
3r1an7,4238,RL_DOUBLES,Academy League,Hive,Season 16,10,45.066,46.668,43.462,555.4,2.1,21.0,1.4,14.0,4.9,49.0,0.2,2.0,3.4,34.0,6.8,68.0,1.0,10.0,0.5,5.0
3r1an7,4238,RL_DOUBLES,Champion League,Outlaws,Season 18,19,48.077894736842104,50.02894736842105,46.12578947368421,510.4736842105263,1.631578947368421,31.0,1.5263157894736843,29.0,4.157894736842105,79.0,0.631578947368421,12.0,3.0526315789473686,58.0,8.105263157894736,154.0,1.2105263157894737,23.0,0.6842105263157895,13.0
3r1an7,4238,RL_STANDARD,Academy League,Bears,Season 17,20,49.703,50.514,48.892,353.8,0.8,16.0,1.1,22.0,3.5,70.0,0.55,11.0,2.4,48.0,6.75,135.0,1.2,24.0,1.0,20.0
3r1an7,4238,RL_STANDARD,Academy League,Express,Season 15,20,50.3475,49.4075,51.29,302.25,0.85,17.0,0.7,14.0,2.25,45.0,0.6,12.0,2.15,43.0,5.85,117.0,0.65,13.0,0.45,9.0
3r1an7,4238,RL_STANDARD,Academy League,Express,Season 15 Playoffs,4,57.485,43.22,71.755,412.5,1.0,4.0,1.5,6.0,2.25,9.0,1.0,4.0,3.0,12.0,9.0,36.0,1.0,4.0,0.5,2.0
3r1an7,4238,RL_STANDARD,Academy League,Flames,Season 16,15,56.87466666666667,49.764,63.98466666666667,408.6,1.0666666666666667,16.0,1.0666666666666667,16.0,3.7333333333333334,56.0,0.8,12.0,2.4,36.0,7.2,108.0,1.0,15.0,0.3333333333333333,5.0
3r1an7,4238,RL_STANDARD,Academy League,Flames,Season 16 Playoffs,5,40.79,61.644,19.936,218.0,0.0,0.0,1.4,7.0,1.2,6.0,0.4,2.0,1.8,9.0,6.6,33.0,1.0,5.0,1.0,5.0
3r1an7,4238,RL_STANDARD,Academy League,Hive,Season 16,5,58.38,41.604,75.156,352.6,0.6,3.0,1.4,7.0,2.6,13.0,1.4,7.0,3.2,16.0,9.6,48.0,0.6,3.0,0.0,0.0
3r1an7,4238,RL_STANDARD,Champion League,Hawks,Season 19,5,54.794,86.066,23.52,309.4,0.6,3.0,2.0,10.0,1.8,9.0,0.0,0.0,1.0,5.0,7.8,39.0,0.0,0.0,0.0,0.0
3r1an7,4238,RL_STANDARD,Champion League,Outlaws,Season 18,17,52.828823529411764,49.27705882352941,56.38,381.1764705882353,0.8823529411764706,15.0,1.4705882352941175,25.0,2.6470588235294117,45.0,0.7058823529411765,12.0,2.588235294117647,44.0,7.823529411764706,133.0,1.1764705882352942,20.0,0.9411764705882353,16.0
