match_group_id,start,end,match_group_title,parent_group_title
6,2021-04-22 11:00:00+00:00,2021-04-26 11:00:00+00:00,Match 1,Season 12
16,2021-04-22 11:00:00+00:00,2021-05-03 11:00:00+00:00,Match 11,Season 12
7,2021-04-29 11:00:00+00:00,2021-05-03 11:00:00+00:00,Match 2,Season 12
8,2021-05-06 11:00:00+00:00,2021-05-10 11:00:00+00:00,Match 3,Season 12
17,2021-05-06 11:00:00+00:00,2021-05-17 11:00:00+00:00,Match 12,Season 12
9,2021-05-20 11:00:00+00:00,2021-05-24 11:00:00+00:00,Match 4,Season 12
10,2021-05-27 11:00:00+00:00,2021-05-31 11:00:00+00:00,Match 5,Season 12
18,2021-05-27 11:00:00+00:00,2021-06-07 11:00:00+00:00,Match 13,Season 12
11,2021-06-03 11:00:00+00:00,2021-06-07 11:00:00+00:00,Match 6,Season 12
12,2021-06-10 11:00:00+00:00,2021-06-14 11:00:00+00:00,Match 7,Season 12
19,2021-06-10 11:00:00+00:00,2021-06-21 11:00:00+00:00,Match 14,Season 12
13,2021-06-24 11:00:00+00:00,2021-06-28 11:00:00+00:00,Match 8,Season 12
14,2021-07-08 11:00:00+00:00,2021-07-12 11:00:00+00:00,Match 9,Season 12
15,2021-07-15 11:00:00+00:00,2021-07-19 11:00:00+00:00,Match 10,Season 12
21,2021-07-23 07:00:00+00:00,2021-07-26 07:00:00+00:00,Conference Quarter-Finals,Season 12 Playoffs
20,2021-07-23 07:00:00+00:00,2021-07-26 07:00:00+00:00,Qualifiers,Season 12 Playoffs
22,2021-07-30 07:00:00+00:00,2021-08-02 07:00:00+00:00,Conference Semi-Finals,Season 12 Playoffs
23,2021-08-06 07:00:00+00:00,2021-08-08 07:00:00+00:00,Conference Finals,Season 12 Playoffs
24,2021-08-13 07:00:00+00:00,2021-08-15 07:00:00+00:00,League Championship,Season 12 Playoffs
25,2021-11-04 11:00:00+00:00,2021-11-08 13:00:00+00:00,Match 1,Season 13
26,2021-11-11 13:00:00+00:00,2021-11-15 13:00:00+00:00,Match 2,Season 13
27,2021-11-18 13:00:00+00:00,2021-11-22 13:00:00+00:00,Match 3,Season 13
28,2021-12-02 13:00:00+00:00,2021-12-06 13:00:00+00:00,Match 4,Season 13
29,2021-12-09 13:00:00+00:00,2021-12-13 13:00:00+00:00,Match 5,Season 13
30,2021-12-16 13:00:00+00:00,2021-12-20 13:00:00+00:00,Match 6,Season 13
31,2022-01-06 13:00:00+00:00,2022-01-10 13:00:00+00:00,Match 7,Season 13
32,2022-01-13 13:00:00+00:00,2022-01-17 13:00:00+00:00,Match 8,Season 13
33,2022-01-20 13:00:00+00:00,2022-01-24 13:00:00+00:00,Match 9,Season 13
34,2022-01-27 13:00:00+00:00,2022-01-31 13:00:00+00:00,Match 10,Season 13
35,2022-02-01 08:00:00+00:00,2022-02-13 08:00:00+00:00,Qualifiers,Season 13 Playoffs
36,2022-02-01 08:00:00+00:00,2022-02-13 08:00:00+00:00,Conference Quarter-Finals,Season 13 Playoffs
37,2022-02-18 08:00:00+00:00,2022-02-27 08:00:00+00:00,Conference Semi-Finals,Season 13 Playoffs
38,2022-03-04 08:00:00+00:00,2022-03-06 08:00:00+00:00,Conference Finals,Season 13 Playoffs
39,2022-03-12 08:00:00+00:00,2022-03-13 08:00:00+00:00,League Championship,Season 13 Playoffs
40,2022-07-28 11:00:00+00:00,2022-08-01 11:00:00+00:00,Match 1,Season 14
47,2022-08-04 11:00:00+00:00,2022-08-08 11:00:00+00:00,Match 2,Season 14
42,2022-08-18 11:00:00+00:00,2022-08-22 11:00:00+00:00,Match 3,Season 14
41,2022-08-25 11:00:00+00:00,2022-08-29 11:00:00+00:00,Match 4,Season 14
48,2022-09-08 11:00:00+00:00,2022-09-12 11:00:00+00:00,Match 5,Season 14
43,2022-09-15 11:00:00+00:00,2022-09-19 11:00:00+00:00,Match 6,Season 14
45,2022-09-22 11:00:00+00:00,2022-09-26 11:00:00+00:00,Match 7,Season 14
44,2022-10-06 11:00:00+00:00,2022-10-10 11:00:00+00:00,Match 8,Season 14
49,2022-10-13 11:00:00+00:00,2022-10-17 11:00:00+00:00,Match 9,Season 14
46,2022-10-20 11:00:00+00:00,2022-10-24 11:00:00+00:00,Match 10,Season 14
50,2022-10-27 11:00:00+00:00,2022-11-01 11:00:00+00:00,Conference Quarter-Finals,Season 14 Playoffs
52,2022-11-03 07:00:00+00:00,2022-11-06 07:00:00+00:00,Conference Semi-Finals,Season 14 Playoffs
53,2022-11-10 13:00:00+00:00,2022-11-14 13:00:00+00:00,Conference Finals,Season 14 Playoffs
54,2022-11-17 08:00:00+00:00,2022-11-20 08:00:00+00:00,Grand Finals,Season 14 Playoffs
67,2023-03-09 13:00:00+00:00,2023-03-13 11:00:00+00:00,Match 1,Season 15
68,2023-03-16 11:00:00+00:00,2023-03-20 11:00:00+00:00,Match 2,Season 15
69,2023-03-23 11:00:00+00:00,2023-03-27 11:00:00+00:00,Match 3,Season 15
70,2023-03-30 11:00:00+00:00,2023-04-03 11:00:00+00:00,Match 4,Season 15
71,2023-04-13 11:00:00+00:00,2023-04-17 11:00:00+00:00,Match 5,Season 15
72,2023-04-20 11:00:00+00:00,2023-04-24 11:00:00+00:00,Match 6,Season 15
73,2023-04-27 11:00:00+00:00,2023-05-01 11:00:00+00:00,Match 7,Season 15
74,2023-05-04 11:00:00+00:00,2023-05-08 11:00:00+00:00,Match 8,Season 15
75,2023-05-18 11:00:00+00:00,2023-05-22 11:00:00+00:00,Match 9,Season 15
76,2023-05-24 11:00:00+00:00,2023-05-30 11:00:00+00:00,Match 10,Season 15
77,2023-06-08 11:00:00+00:00,2023-06-12 11:00:00+00:00,Match 20,Season 15 Playoffs
78,2023-06-08 11:00:00+00:00,2023-06-12 11:00:00+00:00,Match 21,Season 15 Playoffs
80,2023-06-15 11:00:00+00:00,2023-06-19 11:00:00+00:00,Match 22,Season 15 Playoffs
