name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
guru-guru,15.5,1047,1063,330542705807720449,Master League,FP,NA,NONE,0,Not Eligible
mceaton,11.0,341,346,547116511467143198,Academy League,FP,NA,NONE,0,Not Eligible
Ice Bear,14.5,3289,3348,261951899085832192,Champion League,FP,NA,NONE,0,Not Eligible
GingerFrost19,16.0,4520,4579,572536121020645397,Champion League,Pend,NA,NONE,0,Not Eligible
Staas,14.5,519,526,164434738658934785,Champion League,FP,NA,PLAYERC,0,Not Eligible
Radio,12.0,2703,2762,392185248680771594,Academy League,FP,NA,NONE,0,Not Eligible
JacobP334,21.0,6039,6085,598007594233364480,Premier League,Pend,NA,NONE,0,Not Eligible
Conner.,15.5,1736,1793,568196721231003648,Master League,FP,NA,NONE,0,Not Eligible
Cody,12.0,2157,2216,535245840374038529,Academy League,FP,NA,NONE,0,Not Eligible
eX,14.0,1790,1847,390621398697246720,Champion League,FP,NA,NONE,0,Not Eligible
Garbage_Gibbins,12.0,1905,1964,186951177496166400,Academy League,FP,NA,NONE,0,Not Eligible
alphomega17,16.5,858,868,367377930277486603,Master League,FP,NA,NONE,0,Not Eligible
Mando,14.0,1764,1821,226146208148750336,Champion League,FP,NA,NONE,0,Not Eligible
Daric,11.5,3896,3955,905750847424720916,Academy League,FP,NA,NONE,0,Not Eligible
rsayers,11.5,453,459,215548760938381315,Academy League,FP,NA,NONE,0,Not Eligible
999gav,15.0,5421,5480,1161131964036808805,Champion League,Flames,Assistant General Manager,PLAYERG,0,Not Eligible
Andrueninja,14.0,3258,3317,250354907855585282,Champion League,FP,NA,NONE,0,Not Eligible
Ace Penguin,11.5,2327,2386,319687202521219075,Academy League,FP,NA,NONE,0,Not Eligible
HectoChip,20.0,3990,4049,316307559306887169,Premier League,Hurricanes,General Manager,NONE,0,Not Eligible
Hash,14.0,5560,5620,962275627484975104,Champion League,FP,NA,NONE,0,Not Eligible
Wakko,12.5,1377,1401,83266344191000576,Academy League,FP,NA,NONE,0,Not Eligible
Hypr,13.5,812,821,545324302774435854,Champion League,FP,NA,NONE,0,Not Eligible
TheMagnelephant,14.5,562,569,250785025274937354,Champion League,FP,NA,NONE,0,Not Eligible
Jaralyze,12.0,3834,3893,812747565279477760,Academy League,FP,NA,NONE,0,Not Eligible
Duri,18.0,4590,4649,466701121033994262,Premier League,FP,NA,NONE,0,Not Eligible
Pwnzy,10.5,2549,2608,219244375157374977,Academy League,FP,NA,NONE,0,Not Eligible
kakutani,11.0,263,267,170563513540935680,Academy League,FP,NA,NONE,0,Not Eligible
Bye_bye01,12.0,1551,1581,265203344962879488,Academy League,FP,NA,NONE,0,Not Eligible
Supersonic Papi,16.0,1762,1819,372174703533621249,Master League,FP,NA,NONE,0,Not Eligible
Soupy,10.5,3779,3838,796209448535326843,Academy League,FP,NA,PLAYERH,0,Not Eligible
Brodysseus,17.0,3300,3359,541008202188455936,Master League,Pandas,Assistant General Manager,PLAYERB,0,Not Eligible
