match_id,round_id,Home,Home Goals,Away,Away Goals
68257,186389,Foxes,4,Puffins,0
68328,186654,Sharks,4,Pirates,6
68328,186657,Sharks,2,Pirates,4
68297,186667,Jets,5,Hurricanes,4
68356,186680,Express,2,Knights,6
68359,186686,Express,3,Knights,1
68334,186692,Sharks,3,Pirates,1
68358,186695,Express,6,Knights,2
68324,186754,Ducks,2,Hawks,3
68349,186741,Flames,1,Elite,0
68349,186742,Flames,2,Elite,0
68349,186745,Flames,2,Elite,1
68275,186799,Comets,3,Eclipse,0
68329,186816,Sharks,4,Pirates,1
68332,186823,Sharks,3,Pirates,4
68292,186842,Aviators,0,Hive,1
68288,186845,Aviators,3,Hive,2
68338,186883,Demolition,2,Dodgers,3
68298,187253,Jets,0,Hurricanes,2
68298,187255,Jets,0,Hurricanes,4
68373,187528,Bears,2,Bulls,4
68373,187529,Bears,3,Bulls,2
68357,187537,Express,4,Knights,5
68320,187552,Ducks,5,Hawks,2
68340,187558,Demolition,8,Dodgers,3
68336,187573,Demolition,5,Dodgers,1
68336,187574,Demolition,3,Dodgers,2
68341,187583,Demolition,3,Dodgers,5
68303,187609,Jets,1,Hurricanes,5
68376,187629,Rhinos,5,Pandas,2
68383,187639,Rhinos,5,Pandas,1
68381,187643,Rhinos,0,Pandas,3
68380,187647,Rhinos,1,Pandas,3
68284,187887,Wizards,1,Spectre,5
68414,192633,Spectre,2,Comets,5
68502,192636,Bulls,1,Rhinos,3
68444,192645,Shadow,4,Blizzard,2
68476,192668,Elite,6,Demolition,1
68476,192670,Elite,5,Demolition,3
68452,192706,Hawks,6,Sharks,4
68466,192717,Dodgers,3,Flames,1
68468,192726,Dodgers,4,Flames,2
68398,193116,Sabres,2,Foxes,3
68465,193124,Dodgers,1,Flames,4
68474,193164,Elite,2,Demolition,5
68478,193171,Elite,2,Demolition,3
68508,193180,Pandas,2,Bears,7
68440,193195,Shadow,3,Blizzard,2
68442,193200,Shadow,7,Blizzard,2
68447,193205,Shadow,2,Blizzard,1
68549,197106,Aviators,2,Jets,4
68694,197448,Spectre,1,Foxes,4
68694,197454,Spectre,3,Foxes,4
68746,197479,Dodgers,2,Sharks,1
68746,197480,Dodgers,5,Sharks,2
68640,197513,Blizzard,4,Hurricanes,2
68728,197516,Rhinos,7,Knights,5
68680,197524,Eclipse,2,Tyrants,6
68701,197527,Wizards,2,Puffins,1
68609,197559,Express,2,Spartans,4
68756,197830,Elite,4,Ducks,3
68723,197840,Pandas,2,Express,0
68723,197841,Pandas,5,Express,4
68734,197850,Rhinos,3,Knights,1
68761,197866,Flames,1,Hawks,3
68684,197878,Eclipse,4,Tyrants,3
68703,197903,Wizards,2,Puffins,5
68671,198198,Wolves,2,Hive,5
68671,198200,Wolves,1,Hive,6
68671,198201,Wolves,2,Hive,0
68671,198202,Wolves,3,Hive,4
68674,198220,Comets,2,Sabres,0
68693,198301,Spectre,5,Foxes,4
68681,198317,Eclipse,2,Tyrants,5
68664,198356,Wolves,5,Hive,2
68664,198357,Wolves,3,Hive,4
68678,198366,Comets,6,Sabres,1
68678,198367,Comets,2,Sabres,1
68714,198398,Bulls,1,Spartans,4
68714,198402,Bulls,3,Spartans,0
68754,198674,Elite,3,Ducks,4
68659,198847,Shadow,2,Aviators,0
68682,198851,Eclipse,7,Tyrants,3
68682,198854,Eclipse,2,Tyrants,9
68711,198869,Bears,0,Outlaws,1
68670,198874,Wolves,2,Hive,9
68646,198882,Blizzard,4,Hurricanes,2
68738,198897,Demolition,3,Pirates,4
68739,198905,Demolition,3,Pirates,1
68880,200456,Pandas,0,Bulls,2
68704,200846,Bears,2,Outlaws,4
68874,201412,Spartans,9,Express,1
68797,201424,Wizards,1,Comets,2
68797,201425,Wizards,4,Comets,2
68797,201427,Wizards,0,Comets,1
68837,201488,Pirates,1,Hawks,2
68881,201513,Pandas,1,Bulls,2
68792,201522,Wizards,1,Comets,4
68819,201555,Shadow,2,Lightning,1
68866,201566,Outlaws,2,Knights,3
68800,201574,Hurricanes,8,Hive,0
68800,201575,Hurricanes,5,Hive,4
68782,201587,Tyrants,7,Foxes,0
68862,201604,Flames,6,Demolition,0
68862,201605,Flames,6,Demolition,5
68863,201608,Flames,3,Demolition,2
68863,201611,Flames,3,Demolition,1
68771,201874,Sabres,2,Puffins,3
68771,201876,Sabres,2,Puffins,4
68847,201881,Sharks,4,Ducks,1
68847,201882,Sharks,0,Ducks,2
68836,201893,Pirates,4,Hawks,2
68840,201896,Sharks,7,Ducks,3
68844,201907,Sharks,3,Ducks,0
68844,201910,Sharks,4,Ducks,3
68856,201916,Flames,0,Demolition,2
68856,201917,Flames,1,Demolition,5
